にくい
難しい
少ない
悪い
マイナス
大変
不安
忙しい
いない
減点
デメリット
辛い
つらい
しんどい
残念
きつい
弱い
もう少し
不十分
困難
忙しく
疲弊
過多
負荷
ブラック企業
不幸
遅い
不透明
づらく
悪し
理不尽
にくく
苦手
乏しい
苦しい
緩い
物足りない
そぐわない
汚い
ゆるい
がつがつ
泥臭い
キツイ
いまいち
駄目
虚しい
ツライ
妥協
ぎすぎす
もったいない
軽視
めんどくさい
暗い
ままならない
悔しい
つまらない
ごちゃごちゃ
淋しい
いまひとつ
酷い
恥ずかしい
イレギュラー
